#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1532979,0.0,40.2,40.6,41.0,0.0,40.0,39.2,40.0,40.1,187
1533011,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,188
1533043,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,189
1533075,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,190
1533107,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,191
1533139,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,192
1533171,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,193
1533203,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,194
1533235,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,195
1533267,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,196
1533299,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,197
1533331,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,198
1533363,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,199
1533395,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,200
1533427,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,201
1533459,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,202
1533491,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,203
1533523,0.0,40.0,40.8,41.0,0.0,39.8,39.2,39.8,40.1,204
1533555,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,205
1533587,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,206
1533619,0.0,40.2,40.8,41.0,0.0,40.0,39.2,40.0,40.2,207
1533651,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,208
1533683,0.0,40.0,40.8,41.0,0.0,40.0,39.2,39.8,40.1,209
1533715,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,210
1533747,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,211
1533779,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,212
1533811,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,213
1533843,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,214
1533875,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,215
1533907,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,216
1533939,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,217
1533971,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,218
1534003,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,219
1534035,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,220
1534067,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,221
1534099,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,222
1534131,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,223
1534163,0.0,40.2,40.8,41.0,0.0,40.0,39.2,40.0,40.2,224
1534195,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,225
1534227,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,226
1534259,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,227
1534291,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,228
1534323,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,229
1534355,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,230
1534387,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,231
